"ADVERTISER","SERVICEABLE AREA","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"YesVideo","US","11570385","YesVideo Coupon Special - Ends December 31st","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Text Link","$24.83 USD","","22-Apr-2014","<a href=""http://www.anrdoezrs.net/click-7195889-11570385"" target=""_top"">YesVideo Coupon Special - Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. Bring your favorite memories back to life!</a><img src=""http://www.awltovhc.com/image-7195889-11570385"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-11559044?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-11570385","Coupon","20TR","31-Jan-2014","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11476339","120x60 YesVideo 20% Off Coupon Special","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","$18.36 USD","","2-Feb-2014","<a href=""http://www.dpbolvw.net/click-7195889-11476339"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11476339"" width=""120"" height=""60"" alt=""120x60 YesVideo 20% Off Coupon Special"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-11559155?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-11476339","Coupon","20TR","16-Dec-2013","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11570381","Get 20% Off Coupon Special - Ends December 31st","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories. This coupon expires on December 31st.","film, film reels, photos, slides, conversion, family, home movies, VHS, tapes, VHS tapes, video, online","Text Link","$88.74 USD","","2-Feb-2014","<a href=""http://www.dpbolvw.net/click-7195889-11570381"" target=""_top"">Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com.</a><img src=""http://www.awltovhc.com/image-7195889-11570381"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-11559078?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-11570381","Coupon","20TR","31-Jan-2014","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11570382","Get 20% Off Coupon Special 2 - Ends December 31st","YesVideo Coupon Special 2 - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories. This coupon expires on December 31st. ","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Text Link","$93.20 USD","","2-Feb-2014","<a href=""http://www.tkqlhce.com/click-7195889-11570382"" target=""_top"">Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.</a><img src=""http://www.ftjcfx.com/image-7195889-11570382"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-11559076?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-11570382","Coupon","20TR","31-Jan-2014","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11649637","468x60 YesVideo 20% Off Coupon Special","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","$0.00 USD","","2-Feb-2014","<a href=""http://www.dpbolvw.net/click-7195889-11649637"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11649637"" width=""468"" height=""60"" alt=""468x60 YesVideo 20% Off Coupon Special"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-11559157?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-11649637","Coupon","20TR","20-Dec-2013","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11649631","300x250 YesVideo 20% Off Coupon Special","YesVideo Holiday Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","$0.73 USD","","2-Feb-2014","<a href=""http://www.tkqlhce.com/click-7195889-11649631"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-11649631"" width=""300"" height=""250"" alt=""300x250 YesVideo 20% Off Coupon Special"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-11559158?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-11649631","Coupon","20TR","20-Dec-2013","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11649627","160x600 YesVideo 20% Off Coupon Special","YesVideo Holiday Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","","","2-Feb-2014","<a href=""http://www.tkqlhce.com/click-7195889-11649627"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11649627"" width=""160"" height=""600"" alt=""160x600 YesVideo 20% Off Coupon Special"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-11559159?target=_top&mouseover=N""></script>","http://www.dpbolvw.net/click-7195889-11649627","Coupon","20TR","20-Dec-2013","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11649622","124x124 YesVideo 20% Off Coupon Special","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","$0.00 USD","","2-Feb-2014","<a href=""http://www.kqzyfj.com/click-7195889-11649622"" target=""_top""> <img src=""http://www.lduhtrp.net/image-7195889-11649622"" width=""124"" height=""124"" alt=""124x124 YesVideo 20% Off Coupon Special"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-11559160?target=_top&mouseover=N""></script>","http://www.anrdoezrs.net/click-7195889-11649622","Coupon","20TR","20-Dec-2013","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11649649","728x90 YesVideo 20% Off Coupon Special","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","","","2-Feb-2014","<a href=""http://www.anrdoezrs.net/click-7195889-11649649"" target=""_top""> <img src=""http://www.tqlkg.com/image-7195889-11649649"" width=""728"" height=""90"" alt=""728x90 YesVideo 20% Off Coupon Special - Ends January 31st"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-11559161?target=_top&mouseover=N""></script>","http://www.tkqlhce.com/click-7195889-11649649","Coupon","20TR","20-Dec-2013","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11669818","300x600 YesVideo 20% Off Coupon Special","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","","","2-Feb-2014","<a href=""http://www.jdoqocy.com/click-7195889-11669818"" target=""_top""> <img src=""http://www.awltovhc.com/image-7195889-11669818"" width=""300"" height=""600"" alt=""300x600 YesVideo 20% Off Coupon Special"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-11559163?target=_top&mouseover=N""></script>","http://www.kqzyfj.com/click-7195889-11669818","Coupon","20TR","17-Jan-2014","31-Dec-2014","Entertainment","3966305","Active","English","No"
"YesVideo","US","11669826","970x90 YesVideo 20% Off Coupon Special","YesVideo Coupon Special - Bring your favorite memories back to life! Get 20% Off your entire first order by using Coupon Code: 20TR at YesVideo.com. YesVideo.com makes it easy to relive your favorite memories.","yesvideo, yesvideo.com, yes video, video, create dvd, custom dvd, priceless memories, favorite memories, relive, great memories, memories, preserve memories, wonderful memories","Banner","","","2-Feb-2014","<a href=""http://www.anrdoezrs.net/click-7195889-11669826"" target=""_top""> <img src=""http://www.ftjcfx.com/image-7195889-11669826"" width=""970"" height=""90"" alt=""970x90 YesVideo 20% Off Coupon Special"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-11559164?target=_top&mouseover=N""></script>","http://www.jdoqocy.com/click-7195889-11669826","Coupon","20TR","17-Jan-2014","31-Dec-2014","Entertainment","3966305","Active","English","No"
